Timestamp,Age?,Gender: ,Educational Background?,Occupation?,Please select your location based on your  District: ,Select  CHIEFDOM for BOMBALI  DISTRICT.,Select CHIEFDOM  for TONKOLILI DISTRICT.,Do you have access to the internet in your area? ,How often do you experience internet connectivity issues? ,"On average, how many hours per day do you use the internet? ",What types of internet-connected devices do you use?  (You may choose more than one) ,Which mobile network provider do you use? ,How satisfied are you with the internet/mobile services provided by your current network? ,What factors influence your choice of mobile network provider? (You may choose more than one) ,What are the main challenges you face in accessing the internet in rural areas? (You may choose more than one) ,Are there specific locations where internet connectivity is particularly poor? (You may choose more than one) ,How do internet connectivity issues affect your daily life or work? (You may choose more than one) ,What improvements would you like to see in terms of internet connectivity and mobile services in your area? (You may choose more than one) ,Are there specific services or applications you are unable to access due to connectivity issues? (You may choose more than one) ,How important is reliable internet access for economic development and community empowerment in rural areas? ,"Are you aware of the advancements in mobile network technology such as 4G, 5G, or 6G? ",Have you experienced any differences in internet speed or quality when using these advanced technologies? ,Do you believe the implementation of 4G/5G/6G could address connectivity challenges in rural areas? ,Have there been any initiatives or projects in your community aimed at improving internet connectivity? ,How involved are local authorities or community leaders in addressing connectivity issues? ,"Do you believe collaboration between mobile network providers, government agencies, and local communities is essential for enhancing rural connectivity? ",What are your expectations for the future of internet connectivity and mobile services in rural Sierra Leone? (You may choose more than one) ,How do you envision technology shaping rural development and connectivity in the coming years? (You may choose more than one) ,Academia:,Industry:,Government:,Do you have any suggestions for improving internet connectivity and mobile services in rural areas?,"Any additional comments or feedback regarding rural connectivity in Sierra Leone?
Please Specify ",,
2024/04/12 3:15:56 AM GMT+8,20 - 29,Male,Tertiary,Student,Bombali,BOMBALI SHEBORA,,Yes,Constantly (Daily),More than 8 hours,Smartphone;Laptop;Desktop computer;Tablet;Smart TV;Gaming console;Smartwatch,Orange,Neutral,Coverage and Signal Strength;Data Speed and Quality;Customer Service and Support,Limited or Unreliable Connectivity;Lack of Infrastructure;Power Supply Issues;Limited Choice of Service Providers,Home;Marketplaces;Remote Rural Areas,"Difficulty accessing information or resources online;Disruption to communication (e.g., email, messaging, video calls);Impact on productivity or work efficiency;Inability to complete online tasks;Limited access to educational resources or online learning;Difficulty in conducting business transactions or online sales","Better Coverage and Signal Strength;Increased Reliability and Stability of Internet Connections;Faster Data Speeds;More Affordable Internet Plans;Expansion of Infrastructure to Reach Remote Areas;Improved Customer Service and Support;Introduction of New Technologies (e.g., 5G/6G);Introduction of Community Wi-Fi Hotspots;Support for Local Businesses and Entrepreneurs;Reduction of Data Caps or Usage Restrictions","Social Media Platforms (e.g., Facebook, Instagram, Twitter);Messaging Apps (e.g., WhatsApp, Messenger, Telegram);Video Streaming Services (e.g., YouTube, Netflix, Amazon Prime Video);Video Conferencing Tools (e.g., Zoom, Microsoft Teams, Google Meet);Cloud Storage and File Sharing Services (e.g., Google Drive, Dropbox);E-commerce Websites (e.g., Amazon, eBay, Alibaba);Educational Platforms and E-learning Resources;Government Services Portals",Extremely Important,"Yes, I am aware of 4G, 5G, and 6G.","No, I have not noticed any differences in internet speed or quality when using advanced technologies.","Yes, I believe the implementation of 4G/5G/6G could significantly improve connectivity in rural areas.","No, there have not been any initiatives or projects aimed at improving internet connectivity in my community.",Not at all involved - Local authorities and community leaders have shown no involvement in addressing connectivity issues.,"No, I do not think collaboration between these entities is necessary for enhancing rural connectivity.","Expansion of internet coverage to currently underserved rural areas;Improvement in internet speed and reliability;Introduction of affordable internet plans tailored for rural communities;Development of infrastructure to support advanced mobile network technologies (e.g., 5G, 6G);Increased availability of internet-enabled devices at affordable prices;Enhanced digital literacy programs to empower rural residents;Introduction of innovative solutions to address connectivity challenges (e.g., community networks, satellite internet);Support for local businesses and entrepreneurship through improved connectivity;Integration of internet connectivity into essential services (e.g., healthcare, education, agriculture);Promotion of inclusive policies to ensure equitable access to internet services","Expansion of digital infrastructure to connect remote rural areas;Introduction of innovative technologies (e.g., IoT, AI) to improve agricultural practices and increase productivity;Enhancement of telecommunication networks to provide faster and more reliable internet access;Integration of technology into education to improve access to quality learning resources and opportunities;Development of e-commerce platforms to facilitate economic growth and entrepreneurship;Implementation of telemedicine solutions to improve healthcare access and outcomes;Introduction of smart grid systems to improve energy efficiency and reliability;Promotion of digital inclusion initiatives to ensure equitable access to technology and internet services;Fostering of partnerships between government, private sector, and community stakeholders to drive technology-driven rural development",Develop and implement training programs to enhance digital literacy skills in rural communities.,Invest in the expansion of telecommunications infrastructure to reach underserved rural areas.,Implement programs to promote digital literacy and skills training in rural communities.,No,No,,
2024/04/15 1:39:53 AM GMT+8,20 - 29,Female,Tertiary,Student ,Tonkolili,,SIMIRIA,Yes,Frequently (Once a week or more),2-4 hours,Smartphone,QCell,Dissatisfied,Price and Affordability,Limited or Unreliable Connectivity;Lack of Infrastructure;Limited Choice of Service Providers,Workplace;Community Centers;Healthcare Facilities;Remote Rural Areas,"Difficulty accessing information or resources online;Disruption to communication (e.g., email, messaging, video calls);Inability to complete online tasks;Limited access to educational resources or online learning","Better Coverage and Signal Strength;Increased Reliability and Stability of Internet Connections;Faster Data Speeds;More Affordable Internet Plans;Expansion of Infrastructure to Reach Remote Areas;Improved Customer Service and Support;Introduction of New Technologies (e.g., 5G/6G);Support for Local Businesses and Entrepreneurs;Reduction of Data Caps or Usage Restrictions","Social Media Platforms (e.g., Facebook, Instagram, Twitter);Messaging Apps (e.g., WhatsApp, Messenger, Telegram);Video Conferencing Tools (e.g., Zoom, Microsoft Teams, Google Meet);Cloud Storage and File Sharing Services (e.g., Google Drive, Dropbox);E-commerce Websites (e.g., Amazon, eBay, Alibaba);Online Banking and Payment Services;Educational Platforms and E-learning Resources;Government Services Portals",Extremely Important,"I am aware of 4G and 5G, but not 6G.",I am not sure.,"Yes, I believe the implementation of 4G/5G/6G could significantly improve connectivity in rural areas.",I am not sure.,I am not sure.,"Yes, collaboration between mobile network providers, government agencies, and local communities is essential for enhancing rural connectivity.","Expansion of internet coverage to currently underserved rural areas;Improvement in internet speed and reliability;Introduction of affordable internet plans tailored for rural communities;Development of infrastructure to support advanced mobile network technologies (e.g., 5G, 6G);Increased availability of internet-enabled devices at affordable prices;Enhanced digital literacy programs to empower rural residents;Introduction of innovative solutions to address connectivity challenges (e.g., community networks, satellite internet);Support for local businesses and entrepreneurship through improved connectivity;Integration of internet connectivity into essential services (e.g., healthcare, education, agriculture);Promotion of inclusive policies to ensure equitable access to internet services",Enhancement of telecommunication networks to provide faster and more reliable internet access;Integration of technology into education to improve access to quality learning resources and opportunities,Conduct research to identify innovative solutions for improving rural connectivity.,Partner with academia and government to develop and deploy innovative solutions for rural connectivity.,"Facilitate partnerships between academia, industry, and local communities to drive rural connectivity initiatives.",Creat more access and improvement in the speed of internet in the rural areas ,I am not sure ,,
2024/04/15 2:15:00 AM GMT+8,20 - 29,Female,Tertiary,Student ,Tonkolili,,TANE,Yes,Constantly (Daily),2-4 hours,Smartphone;Laptop,Africell,Neutral,Price and Affordability;Data Speed and Quality;Customer Service and Support,Limited or Unreliable Connectivity;Limited Choice of Service Providers,"Home;Workplace;School/University;Public Spaces (e.g., parks, libraries, bus stations);Community Centers;Marketplaces;Healthcare Facilities;Places of Worship;Remote Rural Areas","Difficulty accessing information or resources online;Disruption to communication (e.g., email, messaging, video calls);Impact on productivity or work efficiency;Inability to complete online tasks;Limited access to educational resources or online learning","Better Coverage and Signal Strength;Increased Reliability and Stability of Internet Connections;Faster Data Speeds;More Affordable Internet Plans;Improved Customer Service and Support;Introduction of New Technologies (e.g., 5G/6G);Support for Local Businesses and Entrepreneurs;Reduction of Data Caps or Usage Restrictions","Social Media Platforms (e.g., Facebook, Instagram, Twitter);Messaging Apps (e.g., WhatsApp, Messenger, Telegram);Video Streaming Services (e.g., YouTube, Netflix, Amazon Prime Video);E-commerce Websites (e.g., Amazon, eBay, Alibaba);Online Banking and Payment Services;Educational Platforms and E-learning Resources;Government Services Portals",Extremely Important,"I am aware of 4G and 5G, but not 6G.","I have noticed some improvements in internet speed and quality, but not significant ones.","Yes, I believe the implementation of 4G/5G/6G could significantly improve connectivity in rural areas.",I am not sure.,Not at all involved - Local authorities and community leaders have shown no involvement in addressing connectivity issues.,"Yes, collaboration between mobile network providers, government agencies, and local communities is essential for enhancing rural connectivity.","Expansion of internet coverage to currently underserved rural areas;Improvement in internet speed and reliability;Introduction of affordable internet plans tailored for rural communities;Development of infrastructure to support advanced mobile network technologies (e.g., 5G, 6G);Increased availability of internet-enabled devices at affordable prices;Enhanced digital literacy programs to empower rural residents;Introduction of innovative solutions to address connectivity challenges (e.g., community networks, satellite internet);Support for local businesses and entrepreneurship through improved connectivity;Integration of internet connectivity into essential services (e.g., healthcare, education, agriculture);Promotion of inclusive policies to ensure equitable access to internet services","Expansion of digital infrastructure to connect remote rural areas;Development of e-commerce platforms to facilitate economic growth and entrepreneurship;Implementation of telemedicine solutions to improve healthcare access and outcomes;Fostering of partnerships between government, private sector, and community stakeholders to drive technology-driven rural development",Develop and implement training programs to enhance digital literacy skills in rural communities.,Partner with academia and government to develop and deploy innovative solutions for rural connectivity.,"Facilitate partnerships between academia, industry, and local communities to drive rural connectivity initiatives.",I suggest government to partner with network providers  for improvement in network services in rural area's,Extremely  poor ,,
2024/04/15 2:31:44 AM GMT+8,20 - 29,Male,Tertiary,Worker ,Tonkolili,,KHOLIFA MABANG,No,Constantly (Daily),4-6 hours,Smartphone;Laptop;Tablet,QCell,,Price and Affordability,Limited or Unreliable Connectivity;Lack of Infrastructure;High Costs;Power Supply Issues;Limited Choice of Service Providers,"Home;Workplace;School/University;Public Spaces (e.g., parks, libraries, bus stations);Community Centers;Marketplaces;Healthcare Facilities;Places of Worship;Remote Rural Areas","Difficulty accessing information or resources online;Disruption to communication (e.g., email, messaging, video calls);Impact on productivity or work efficiency;Inability to complete online tasks;Limited access to educational resources or online learning;Difficulty in conducting business transactions or online sales","Better Coverage and Signal Strength;Increased Reliability and Stability of Internet Connections;Faster Data Speeds;More Affordable Internet Plans;Expansion of Infrastructure to Reach Remote Areas;Improved Customer Service and Support;Introduction of New Technologies (e.g., 5G/6G);Introduction of Community Wi-Fi Hotspots;Support for Local Businesses and Entrepreneurs;Reduction of Data Caps or Usage Restrictions","Social Media Platforms (e.g., Facebook, Instagram, Twitter);Messaging Apps (e.g., WhatsApp, Messenger, Telegram);Cloud Storage and File Sharing Services (e.g., Google Drive, Dropbox);E-commerce Websites (e.g., Amazon, eBay, Alibaba);Online Banking and Payment Services;Educational Platforms and E-learning Resources;Government Services Portals",Extremely Important,"I have heard of mobile network advancements, but I am not sure about the specifics.",I am not sure.,"Yes, I believe the implementation of 4G/5G/6G could significantly improve connectivity in rural areas.","No, there have not been any initiatives or projects aimed at improving internet connectivity in my community.",Not at all involved - Local authorities and community leaders have shown no involvement in addressing connectivity issues.,"Yes, collaboration between mobile network providers, government agencies, and local communities is essential for enhancing rural connectivity.","Expansion of internet coverage to currently underserved rural areas;Improvement in internet speed and reliability;Introduction of affordable internet plans tailored for rural communities;Development of infrastructure to support advanced mobile network technologies (e.g., 5G, 6G);Increased availability of internet-enabled devices at affordable prices;Enhanced digital literacy programs to empower rural residents;Introduction of innovative solutions to address connectivity challenges (e.g., community networks, satellite internet);Support for local businesses and entrepreneurship through improved connectivity;Integration of internet connectivity into essential services (e.g., healthcare, education, agriculture);Promotion of inclusive policies to ensure equitable access to internet services","Expansion of digital infrastructure to connect remote rural areas;Introduction of innovative technologies (e.g., IoT, AI) to improve agricultural practices and increase productivity;Enhancement of telecommunication networks to provide faster and more reliable internet access;Integration of technology into education to improve access to quality learning resources and opportunities;Development of e-commerce platforms to facilitate economic growth and entrepreneurship;Implementation of telemedicine solutions to improve healthcare access and outcomes;Introduction of smart grid systems to improve energy efficiency and reliability;Promotion of digital inclusion initiatives to ensure equitable access to technology and internet services;Fostering of partnerships between government, private sector, and community stakeholders to drive technology-driven rural development",Develop and implement training programs to enhance digital literacy skills in rural communities.,Develop affordable and tailored internet and mobile service plans for rural communities.,Implement programs to promote digital literacy and skills training in rural communities.,Sierra Leone really need more advancement in the area of network work issues in the rural areas it is extremely poor and lead?? to a lot of constrains ,Zero improvement in rural connectivity ,,
2024/04/15 2:53:40 AM GMT+8,30 - 39,Male,Tertiary,Farmer ,Tonkolili,,MALAL,No,Constantly (Daily),2-4 hours,Smartphone,Africell,Very dissatisfied,Coverage and Signal Strength;Price and Affordability,Limited or Unreliable Connectivity;Lack of Infrastructure;High Costs;Power Supply Issues;Limited Choice of Service Providers,"Home;Workplace;School/University;Public Spaces (e.g., parks, libraries, bus stations);Community Centers;Marketplaces;Healthcare Facilities;Places of Worship;Remote Rural Areas",Difficulty accessing information or resources online;Limited access to educational resources or online learning,"Better Coverage and Signal Strength;Increased Reliability and Stability of Internet Connections;Faster Data Speeds;More Affordable Internet Plans;Expansion of Infrastructure to Reach Remote Areas;Improved Customer Service and Support;Introduction of New Technologies (e.g., 5G/6G);Introduction of Community Wi-Fi Hotspots;Support for Local Businesses and Entrepreneurs;Reduction of Data Caps or Usage Restrictions","Social Media Platforms (e.g., Facebook, Instagram, Twitter);Messaging Apps (e.g., WhatsApp, Messenger, Telegram)",Extremely Important,"No, I am not aware of any advancements in mobile network technology.","No, I have not noticed any differences in internet speed or quality when using advanced technologies.","Yes, I believe the implementation of 4G/5G/6G could significantly improve connectivity in rural areas.",I am not sure.,Not at all involved - Local authorities and community leaders have shown no involvement in addressing connectivity issues.,"Yes, collaboration between mobile network providers, government agencies, and local communities is essential for enhancing rural connectivity.","Expansion of internet coverage to currently underserved rural areas;Improvement in internet speed and reliability;Introduction of affordable internet plans tailored for rural communities;Development of infrastructure to support advanced mobile network technologies (e.g., 5G, 6G);Enhanced digital literacy programs to empower rural residents;Introduction of innovative solutions to address connectivity challenges (e.g., community networks, satellite internet);Support for local businesses and entrepreneurship through improved connectivity;Promotion of inclusive policies to ensure equitable access to internet services","Expansion of digital infrastructure to connect remote rural areas;Introduction of innovative technologies (e.g., IoT, AI) to improve agricultural practices and increase productivity;Enhancement of telecommunication networks to provide faster and more reliable internet access;Integration of technology into education to improve access to quality learning resources and opportunities;Development of e-commerce platforms to facilitate economic growth and entrepreneurship;Implementation of telemedicine solutions to improve healthcare access and outcomes;Introduction of smart grid systems to improve energy efficiency and reliability;Promotion of digital inclusion initiatives to ensure equitable access to technology and internet services;Fostering of partnerships between government, private sector, and community stakeholders to drive technology-driven rural development",Collaborate with industry and government to pilot and evaluate new technologies and initiatives.,Partner with academia and government to develop and deploy innovative solutions for rural connectivity.,Allocate funding for the expansion of digital infrastructure in rural areas.,More focus to rural network improvement ,Totally poor ,,
2024/04/15 3:18:02 AM GMT+8,40 - 49,Female,Degree ,Lecture ,Tonkolili,,KAFE,Yes,Frequently (Once a week or more),6-8 hours,Smartphone;Laptop;Desktop computer;Tablet;Smart TV;Smartwatch,Orange,Neutral,Coverage and Signal Strength;Price and Affordability;Data Speed and Quality;Customer Service and Support;Availability of Promotions or Discounts;Network Reputation and Reliability;Compatibility with Device,High Costs,Workplace;School/University,"Difficulty accessing information or resources online;Disruption to communication (e.g., email, messaging, video calls);Impact on productivity or work efficiency;Inability to complete online tasks;Limited access to educational resources or online learning;Difficulty in conducting business transactions or online sales","Better Coverage and Signal Strength;Increased Reliability and Stability of Internet Connections;Faster Data Speeds;More Affordable Internet Plans;Expansion of Infrastructure to Reach Remote Areas;Improved Customer Service and Support;Introduction of New Technologies (e.g., 5G/6G);Introduction of Community Wi-Fi Hotspots;Support for Local Businesses and Entrepreneurs;Reduction of Data Caps or Usage Restrictions","Social Media Platforms (e.g., Facebook, Instagram, Twitter);Messaging Apps (e.g., WhatsApp, Messenger, Telegram);Video Streaming Services (e.g., YouTube, Netflix, Amazon Prime Video);Video Conferencing Tools (e.g., Zoom, Microsoft Teams, Google Meet);Cloud Storage and File Sharing Services (e.g., Google Drive, Dropbox);E-commerce Websites (e.g., Amazon, eBay, Alibaba);Online Banking and Payment Services;Educational Platforms and E-learning Resources;Government Services Portals",Extremely Important,"Yes, I am aware of 4G, 5G, and 6G.","I have noticed some improvements in internet speed and quality, but not significant ones.","Yes, I believe the implementation of 4G/5G/6G could significantly improve connectivity in rural areas.","Yes, there have been government-led initiatives or projects.","Somewhat involved - Local authorities and community leaders are making some efforts to address connectivity issues, but more action could be taken.","Yes, collaboration between mobile network providers, government agencies, and local communities is essential for enhancing rural connectivity.","Expansion of internet coverage to currently underserved rural areas;Improvement in internet speed and reliability;Introduction of affordable internet plans tailored for rural communities;Development of infrastructure to support advanced mobile network technologies (e.g., 5G, 6G);Increased availability of internet-enabled devices at affordable prices;Enhanced digital literacy programs to empower rural residents;Introduction of innovative solutions to address connectivity challenges (e.g., community networks, satellite internet);Support for local businesses and entrepreneurship through improved connectivity;Integration of internet connectivity into essential services (e.g., healthcare, education, agriculture);Promotion of inclusive policies to ensure equitable access to internet services","Expansion of digital infrastructure to connect remote rural areas;Introduction of innovative technologies (e.g., IoT, AI) to improve agricultural practices and increase productivity;Enhancement of telecommunication networks to provide faster and more reliable internet access;Integration of technology into education to improve access to quality learning resources and opportunities;Development of e-commerce platforms to facilitate economic growth and entrepreneurship;Implementation of telemedicine solutions to improve healthcare access and outcomes;Introduction of smart grid systems to improve energy efficiency and reliability;Promotion of digital inclusion initiatives to ensure equitable access to technology and internet services;Fostering of partnerships between government, private sector, and community stakeholders to drive technology-driven rural development",Conduct research to identify innovative solutions for improving rural connectivity.,Partner with academia and government to develop and deploy innovative solutions for rural connectivity.,"Facilitate partnerships between academia, industry, and local communities to drive rural connectivity initiatives.",Massive improvement needs to be undertaken regarding network connectivity in rural areas to mitigate constrains in E-money services and communication ,The connectivity is very poor and needs improvement in rural areas ,,
2024/04/15 5:20:03 AM GMT+8,40 - 49,Male,Tertiary,Civil service ,Tonkolili,,SAMBAIA,Yes,Constantly (Daily),4-6 hours,Smartphone;Laptop,Orange,Satisfied,Coverage and Signal Strength;Price and Affordability,Limited or Unreliable Connectivity;High Costs,Home;Remote Rural Areas,"Disruption to communication (e.g., email, messaging, video calls)",Better Coverage and Signal Strength;Increased Reliability and Stability of Internet Connections;Faster Data Speeds;More Affordable Internet Plans;Expansion of Infrastructure to Reach Remote Areas,"Video Streaming Services (e.g., YouTube, Netflix, Amazon Prime Video);E-commerce Websites (e.g., Amazon, eBay, Alibaba);Educational Platforms and E-learning Resources",Moderately Important,"Yes, I am aware of 4G, 5G, and 6G.","Yes, I have experienced significant improvements in internet speed and quality with advanced technologies (e.g., 4G, 5G, 6G).","Yes, I believe the implementation of 4G/5G/6G could significantly improve connectivity in rural areas.",I am not sure.,I am not sure.,"I believe collaboration could be helpful, but it may not be essential for enhancing rural connectivity.","Improvement in internet speed and reliability;Development of infrastructure to support advanced mobile network technologies (e.g., 5G, 6G);Increased availability of internet-enabled devices at affordable prices",Expansion of digital infrastructure to connect remote rural areas;Promotion of digital inclusion initiatives to ensure equitable access to technology and internet services,Conduct research to identify innovative solutions for improving rural connectivity.,Invest in the expansion of telecommunications infrastructure to reach underserved rural areas.,"Facilitate partnerships between academia, industry, and local communities to drive rural connectivity initiatives.",No ,No,,
2024/04/15 8:02:22 PM GMT+8,20 - 29,Male,Tertiary,Employee ,Bombali,GBANTI,,Yes,Constantly (Daily),More than 8 hours,Smartphone,Orange,Neutral,Price and Affordability;Data Speed and Quality,Limited or Unreliable Connectivity;Lack of Infrastructure;Power Supply Issues;Limited Choice of Service Providers,Home;School/University;Marketplaces;Healthcare Facilities;Remote Rural Areas,"Difficulty accessing information or resources online;Disruption to communication (e.g., email, messaging, video calls);Inability to complete online tasks;Difficulty in conducting business transactions or online sales","Better Coverage and Signal Strength;Increased Reliability and Stability of Internet Connections;Faster Data Speeds;More Affordable Internet Plans;Introduction of New Technologies (e.g., 5G/6G);Introduction of Community Wi-Fi Hotspots;Support for Local Businesses and Entrepreneurs","Cloud Storage and File Sharing Services (e.g., Google Drive, Dropbox);Online Banking and Payment Services;Educational Platforms and E-learning Resources",Extremely Important,"I am aware of 4G and 5G, but not 6G.","Yes, I have experienced significant improvements in internet speed and quality with advanced technologies (e.g., 4G, 5G, 6G).","Yes, I believe the implementation of 4G/5G/6G could significantly improve connectivity in rural areas.",I am not sure.,Not very involved - Local authorities and community leaders have shown limited involvement in addressing connectivity issues.,"Yes, collaboration between mobile network providers, government agencies, and local communities is essential for enhancing rural connectivity.","Improvement in internet speed and reliability;Development of infrastructure to support advanced mobile network technologies (e.g., 5G, 6G);Introduction of innovative solutions to address connectivity challenges (e.g., community networks, satellite internet)",Expansion of digital infrastructure to connect remote rural areas;Enhancement of telecommunication networks to provide faster and more reliable internet access,Develop and implement training programs to enhance digital literacy skills in rural communities.,Invest in the expansion of telecommunications infrastructure to reach underserved rural areas.,,,,,
2024/04/15 8:12:30 PM GMT+8,20 - 29,Male,Tertiary,STUDENT,Bombali,MAGBAIMBA N??OHAHUN,,Yes,Frequently (Once a week or more),2-4 hours,Smartphone;Laptop;Desktop computer;Smart TV,Orange,Satisfied,Coverage and Signal Strength;Price and Affordability;Data Speed and Quality;Customer Service and Support,Limited or Unreliable Connectivity;Lack of Infrastructure;High Costs,"Home;Workplace;School/University;Public Spaces (e.g., parks, libraries, bus stations);Community Centers","Difficulty accessing information or resources online;Disruption to communication (e.g., email, messaging, video calls);Impact on productivity or work efficiency;Limited access to educational resources or online learning",Better Coverage and Signal Strength;Increased Reliability and Stability of Internet Connections;Faster Data Speeds;More Affordable Internet Plans,"Social Media Platforms (e.g., Facebook, Instagram, Twitter);Messaging Apps (e.g., WhatsApp, Messenger, Telegram);Video Streaming Services (e.g., YouTube, Netflix, Amazon Prime Video);Cloud Storage and File Sharing Services (e.g., Google Drive, Dropbox)",Very Important,"I am aware of 4G and 5G, but not 6G.","Yes, I have experienced significant improvements in internet speed and quality with advanced technologies (e.g., 4G, 5G, 6G).","I think 4G/5G/6G implementation might help, but it may not fully address all connectivity challenges in rural areas.","Yes, there have been initiatives or projects led by non-profit organizations or community groups.","Somewhat involved - Local authorities and community leaders are making some efforts to address connectivity issues, but more action could be taken.","Yes, collaboration between mobile network providers, government agencies, and local communities is essential for enhancing rural connectivity.","Improvement in internet speed and reliability;Development of infrastructure to support advanced mobile network technologies (e.g., 5G, 6G);Increased availability of internet-enabled devices at affordable prices;Enhanced digital literacy programs to empower rural residents;Support for local businesses and entrepreneurship through improved connectivity",Expansion of digital infrastructure to connect remote rural areas;Integration of technology into education to improve access to quality learning resources and opportunities;Development of e-commerce platforms to facilitate economic growth and entrepreneurship,Conduct research to identify innovative solutions for improving rural connectivity.,Develop affordable and tailored internet and mobile service plans for rural communities.,Develop policies and regulations to incentivize private sector investment in rural connectivity.,,,,
2024/04/15 8:26:57 PM GMT+8,30 - 39,Male,Tertiary,Environmentalist,Bombali,BOMBALI SHEBORA,,Yes,Frequently (Once a week or more),6-8 hours,Smartphone,Orange,Satisfied,Family or Friends' Recommendations,High Costs;Power Supply Issues;Limited Choice of Service Providers,Places of Worship;Remote Rural Areas,"Difficulty accessing information or resources online;Disruption to communication (e.g., email, messaging, video calls);Inability to complete online tasks","Better Coverage and Signal Strength;Increased Reliability and Stability of Internet Connections;Faster Data Speeds;More Affordable Internet Plans;Expansion of Infrastructure to Reach Remote Areas;Introduction of New Technologies (e.g., 5G/6G)","Social Media Platforms (e.g., Facebook, Instagram, Twitter);Video Conferencing Tools (e.g., Zoom, Microsoft Teams, Google Meet)",Very Important,"I am aware of 4G, but not 5G or 6G.","No, I have not noticed any differences in internet speed or quality when using advanced technologies.","No, I do not believe that 4G/5G/6G implementation would make a significant difference in addressing connectivity challenges in rural areas.","Yes, there have been government-led initiatives or projects.","Somewhat involved - Local authorities and community leaders are making some efforts to address connectivity issues, but more action could be taken.","Yes, collaboration between mobile network providers, government agencies, and local communities is essential for enhancing rural connectivity.","Introduction of affordable internet plans tailored for rural communities;Increased availability of internet-enabled devices at affordable prices;Introduction of innovative solutions to address connectivity challenges (e.g., community networks, satellite internet)","Introduction of innovative technologies (e.g., IoT, AI) to improve agricultural practices and increase productivity;Integration of technology into education to improve access to quality learning resources and opportunities;Development of e-commerce platforms to facilitate economic growth and entrepreneurship",Develop and implement training programs to enhance digital literacy skills in rural communities.,Invest in the expansion of telecommunications infrastructure to reach underserved rural areas.,"Facilitate partnerships between academia, industry, and local communities to drive rural connectivity initiatives.",no,no,,
2024/04/15 10:08:31 PM GMT+8,40 - 49,Male,Tertiary,Environment Consultant,Bombali,MAKARI,,Yes,Frequently (Once a week or more),More than 8 hours,Smartphone;Laptop;Smart TV;Smartwatch,Orange,Neutral,Coverage and Signal Strength,Limited or Unreliable Connectivity,Remote Rural Areas,"Difficulty accessing information or resources online;Disruption to communication (e.g., email, messaging, video calls);Impact on productivity or work efficiency;Inability to complete online tasks;Limited access to educational resources or online learning;Difficulty in conducting business transactions or online sales",Better Coverage and Signal Strength;Increased Reliability and Stability of Internet Connections;Faster Data Speeds;More Affordable Internet Plans;Expansion of Infrastructure to Reach Remote Areas;Improved Customer Service and Support;Introduction of Community Wi-Fi Hotspots;Support for Local Businesses and Entrepreneurs;Reduction of Data Caps or Usage Restrictions,"Social Media Platforms (e.g., Facebook, Instagram, Twitter);Messaging Apps (e.g., WhatsApp, Messenger, Telegram);Video Streaming Services (e.g., YouTube, Netflix, Amazon Prime Video);Video Conferencing Tools (e.g., Zoom, Microsoft Teams, Google Meet);Cloud Storage and File Sharing Services (e.g., Google Drive, Dropbox);Government Services Portals",Extremely Important,"Yes, I am aware of 4G, 5G, and 6G.","I have noticed some improvements in internet speed and quality, but not significant ones.","I think 4G/5G/6G implementation might help, but it may not fully address all connectivity challenges in rural areas.",I am not sure.,Not at all involved - Local authorities and community leaders have shown no involvement in addressing connectivity issues.,"I believe collaboration could be helpful, but it may not be essential for enhancing rural connectivity.","Expansion of internet coverage to currently underserved rural areas;Improvement in internet speed and reliability;Introduction of affordable internet plans tailored for rural communities;Development of infrastructure to support advanced mobile network technologies (e.g., 5G, 6G);Increased availability of internet-enabled devices at affordable prices;Enhanced digital literacy programs to empower rural residents;Introduction of innovative solutions to address connectivity challenges (e.g., community networks, satellite internet);Support for local businesses and entrepreneurship through improved connectivity;Integration of internet connectivity into essential services (e.g., healthcare, education, agriculture);Promotion of inclusive policies to ensure equitable access to internet services","Expansion of digital infrastructure to connect remote rural areas;Introduction of innovative technologies (e.g., IoT, AI) to improve agricultural practices and increase productivity;Enhancement of telecommunication networks to provide faster and more reliable internet access;Integration of technology into education to improve access to quality learning resources and opportunities;Development of e-commerce platforms to facilitate economic growth and entrepreneurship;Promotion of digital inclusion initiatives to ensure equitable access to technology and internet services",Conduct research to identify innovative solutions for improving rural connectivity.,Invest in the expansion of telecommunications infrastructure to reach underserved rural areas.,Implement programs to promote digital literacy and skills training in rural communities.,Development of public hot spot with limited time per i dividual.,rural connectivity is highly required,,
